user_id,plan_type,country,device_type,industry
051b167b-c30d-4155-a35a-6093f480ea88,Business,France,Mobile,SaaS
4d07c71d-bf62-45e6-ae2e-c1e7ef17d22c,Pro,UK,Desktop,SaaS
4386cf87-24eb-4448-a2bb-265a39c9261a,Free,Turkey,Mobile,E-Commerce
b70b565f-8283-4135-928a-8efee2006d33,Pro,France,Desktop,SaaS
87eed6d8-591b-4806-9457-501bc90ef72f,Free,Germany,Mobile,SaaS
ff648fe2-81bb-4241-b775-d2b9651f81ac,Free,USA,Mobile,E-Commerce
8f67212d-4849-4d0c-a322-7ff3f36f0d8e,Pro,Germany,Desktop,Healthcare
cbe8d2d0-206b-4b3b-a6a2-6790cc823d31,Free,Germany,Mobile,E-Commerce
5807d473-a426-46c3-93b1-47cbb682fed9,Business,Turkey,Mobile,SaaS
95d2ff24-108d-4d0d-af65-6195ab0dc827,Free,UK,Mobile,SaaS
00d8c689-f2a7-448b-9393-20a6adca0868,Pro,Germany,Desktop,Healthcare
b3ceff26-2650-4715-a79a-60a0a65050ac,Business,USA,Mobile,Education
f32df4b9-b298-43e9-9c91-ce79f5d05b86,Business,UK,Desktop,SaaS
6013855f-f99f-46b7-a5d6-25fa6d1536cb,Pro,France,Mobile,SaaS
1bf1deb4-62e9-417f-a96c-e8fcc94deba8,Free,USA,Mobile,Healthcare
f95a949d-ecf6-4a65-814a-b500e2d48158,Business,UK,Desktop,Healthcare
892bd7d9-620d-482b-b25f-5652aa9d65ab,Pro,Germany,Desktop,Healthcare
c36be2fb-ebe2-422b-8987-62935c041016,Pro,France,Desktop,E-Commerce
f996149b-6e0d-4ff9-b2e9-717a8d2d3bfd,Pro,USA,Mobile,SaaS
1553a711-8d9d-437e-9d45-92ca2a31ac70,Business,Germany,Mobile,E-Commerce
cfba8cc5-8530-464e-8d6c-8a6dbd8b4252,Free,Turkey,Mobile,E-Commerce
521cf522-51c0-4f32-9f3b-2f1dd3d80390,Pro,France,Desktop,SaaS
059bff93-8694-4827-9d24-de56ef000fc7,Business,UK,Desktop,Healthcare
bd8c2820-74f9-44d2-8dd7-8dcc31c0dcdf,Free,Germany,Desktop,SaaS
37315586-6747-4190-b80d-c267479e9383,Free,Turkey,Mobile,SaaS
cd204564-9328-44a8-a08d-62c14c4ad619,Business,Germany,Desktop,Education
e5657620-d980-4a07-8561-f9b32981ac2e,Pro,Germany,Desktop,Education
39c1074a-af14-4aa5-8860-208682855fcd,Free,USA,Mobile,Healthcare
722ea163-6e9a-4961-a1e8-68b152ff32ea,Business,USA,Desktop,SaaS
66ece46c-47f7-45e5-b601-0ca162a96a9f,Pro,France,Mobile,E-Commerce
c4cf2b14-88db-4fee-9e87-6d0d25dae510,Business,Turkey,Mobile,SaaS
9555e2c4-6bab-44d0-aa72-a64cf3570002,Business,USA,Desktop,Healthcare
29540d3c-9d45-4575-ad9d-3b9c3b52b12e,Business,UK,Mobile,Healthcare
916f3458-fe95-4056-9a62-ff586522c10e,Free,France,Mobile,SaaS
